Name on List,Name,Gender,Solo/Group,Group,Company,Parent Brand,Main Brand,Title,Notes,Date announced,Region
BIGBANG G-Dragon,G-Dragon,M,Solo,BIGBANG,YG,Chanel,,Global Ambassador,,17-Nov-16,Global
Wanna One Kang Daniel,Kang Daniel,M,Solo,Wanna One,Konnect Entertainment,Chanel,,Muse,Jewelry,17-Jun-18,
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Pandora,,Endorsement Model,,20-Aug-18,South Korea
EXO Sehun,Sehun,M,Solo,Exo,SM,Zegna,,Global Ambassador,Ermenegildo Zegna XXX,20-Sep-18,Global
BLACKPINK Jennie,Jennie,F,Solo,Blackpink,YG,Amore Pacific,Hera,Face,,14-Jan-19,South Korea
Wanna One and NU’EST Hwang Minhyun,Minhyun,M,Solo,Nu'est,HYBE,Moncler,,Brand Ambassador,,1-Feb-19,South Korea
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Michael Kors,,Brand Ambassador,,13-Feb-19,South Korea
EXO Suho,Suho,M,Solo,Exo,SM,Bvlgari,,Brand Ambassador,,18-Feb-19,South Korea
Red Velvet Irene,Irene,F,Solo,Red Velvet,SM,Damiani,,Muse,,19-Feb-19,
EXO Chanyeol,Chanyeol,M,Solo,Exo,SM,Acqua Di Parma,,Muse,,21-Feb-19,
BLACKPINK Jennie,Jennie,F,Solo,Blackpink,YG,Chanel,,Global Ambassador,,1-Mar-19,Global
Red Velvet Joy,Joy,F,Solo,Red Velvet,SM,Amore Pacific,eSpoir,Muse,"Makeup, Skincare",27-May-19,
Red Velvet Irene,Irene,F,Solo,Red Velvet,SM,Miu Miu,,Face,,3-Jul-19,South Korea
Wanna One Kang Daniel,Kang Daniel,M,Solo,Soloist,Konnect Entertainment,Cartier,Maison Cartier,Ambassador Group,,1-Aug-19,
EXO Kai,Kai,M,Solo,Exo,SM,Gucci,,Global Ambassador,,15-Sep-19,Global
Wanna One Kang Daniel,Kang Daniel,M,Solo,Soloist,Konnect Entertainment,Givenchy,Givenchy Beauty,Brand Ambassador,,17-Sep-19,
GOT7 Jinyoung,Jinyoung,M,Solo,GOT7,BH Entertainment,Tom Ford,Tom Ford Beauty,Brand Ambassador,,1-Feb-20,South Korea
Wanna One and NU’EST Hwang Minhyun,Minhyun,M,Solo,Nu'est,HYBE,Jo Malone,,Brand Ambassador,,3-Feb-20,South Korea
BLACKPINK Rosé,Rosé,F,Solo,Blackpink,YG,Yves Saint Laurent,,Global Ambassador,,3-Jul-20,Global
BLACKPINK Lisa,Lisa,F,Solo,Blackpink,YG,Bvlgari,,Global Ambassador,,25-Jul-20,Global
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Estee Lauder,,Muse,,7-Sep-20,
EXO Baekhyun,Baekhyun,M,Solo,Exo,SM,Burberry,,Brand Ambassador,,17-Sep-20,South Korea
EXO Chanyeol,Chanyeol,M,Solo,Exo,SM,Prada,,Brand Ambassador,,18-Sep-20,South Korea
Red Velvet Irene,Irene,F,Solo,Red Velvet,SM,Prada,,Brand Ambassador,,18-Sep-20,South Korea
Oh My Girl YooA,YooA,F,Solo,Oh My Girl,WM Entertainment,Too Faced,,Muse,,21-Sep-20,South Korea
BLACKPINK Lisa,Lisa,F,Solo,Blackpink,YG,Celine,,Global Ambassador,,24-Sep-20,Global
MONSTA X Shownu,Shownu,M,Solo,Monsta X,Starship,Moschino,Moschino Perfume,Muse,,23-Oct-20,
BLACKPINK Lisa,Lisa,F,Solo,Blackpink,YG,MAC Cosmetics,,Global Ambassador,,24-Oct-20,Global
Aespa,,F,Group,Aespa,SM,Givenchy,,Brand Ambassador,,10-Feb-21,South Korea
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Laura Mercier,,Endorsement Model,,22-Mar-21,South Korea
BLACKPINK Jisoo,Jisoo,F,Solo,Blackpink,YG,Dior,,Global Ambassador,,26-Mar-21,Global
EXO Kai,Kai,M,Solo,Exo,SM,Bobbi Brown,,Muse,,12-Apr-21,Asia Pacific
BLACKPINK Rosé,Rosé,F,Solo,Blackpink,YG,Tiffany and Co.,,Global Ambassador,,21-Apr-21,Global
BTS,,M,Group,BTS,HYBE,Louis Vuitton,,Global Ambassador,,22-Apr-21,Global
Jeon Somi,Jeon Somi,F,Solo,Soloist,The Black Label,Louis Vuitton,Eyewear,Global Ambassador,,17-May-21,Global
GOT7 Jackson,Jackson Wang,M,Solo,GOT7,Team Wang,Fendi,,Spokesperson,,18-Jun-21,China
MONSTA X I.M,I.M.,M,Solo,Monsta X,Starship,Versace,,Endorsment Model,Versace Eros Fragrance,21-Jun-21,South Korea
Enhyphen,,M,Group,Enhyphen,HYBE,AMI,,Global Ambassador,,28-Jun-21,Global
Red Velvet Seulgi,Seulgi,F,Solo,Red Velvet,SM,Ferragamo,,Global Ambassador,,28-Jun-21,Global
Hyuna,Hyuna,F,Solo,Soloist,PNation,Loewe,,Global Ambassador,,13-Jul-21,Global
ASTRO Cha Eun Woo,Cha Eunwoo,M,Solo,Astro,Fantagio,Burberry,,Global Ambassador,,22-Jul-21,Global
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Amore Pacific,Innisfree,Global Ambassador,,27-Jul-21,Global
GOT7 Jackson,Jackson Wang,M,Solo,GOT7,Team Wang,Armani,Armani Beauty,Spokesperson,,30-Jul-21,Asia-Pacific
Red Velvet Joy,Joy,F,Solo,Red Velvet,SM,Tod's,Hogan,Brand Ambassador,,13-Aug-21,South Korea
Girls’ Generation Taeyeon,Taeyeon,F,Solo,Girls' Generation,SM,Amore Pacific,Sulwhasoo,Brand Ambassador,New Concentrated Ginseng Renewing Cream,20-Aug-21,South Korea
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Miu Miu,,Brand Ambassador,,22-Oct-21,South Korea
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Miu Miu,,Brand Ambassador,,15-Nov-21,South Korea
EXO Sehun,Sehun,M,Solo,Exo,SM,Dior,,Global Ambassador,,10-Dec-21,Global
Red Velvet Joy,Joy,F,Solo,Red Velvet,SM,Calvin Klein,,Muse,,30-Dec-21,
Jeon Somi,Jeon Somi,F,Solo,Soloist,The Black Label,Converse,,Brand Ambassador,,26-Feb-22,South Korea
BLACKPINK Jisoo,Jisoo,F,Solo,Blackpink,YG,Dunst,,Brand Ambassador,,2-Mar-22,South Korea
TWICE Mina,Mina,F,Solo,Twice,JYP,SK-II,,Brand Ambassador,,17-Mar-22,Asia
IVE An Yu Jin,An Yujin,F,Solo,IVE,Starship,Versace,,Campaign,Spring/Summer Campaign,24-Mar-22,Asia-Pacific
IVE An Yu Jin,An Yujin,F,Solo,IVE,Starship,Versace,,Campaign,Versace's 2022 spring/summer campaign,24-Mar-22,
Girls’ Generation Taeyeon,Taeyeon,F,Solo,Girls' Generation,SM,Benefit Cosmetics,,Muse,,19-Apr-22,
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Chaumet,,Friend of the Maison,,30-Apr-22,South Korea
BLACKPINK Jisoo,Jisoo,F,Solo,Blackpink,YG,Cartier,,Global Ambassador,Panthère,23-May-22,Global
BlockB Zico,Zico,M,Solo,Soloist,HYBE,Fendi,,Brand Ambassador,,24-May-22,South Korea
IU,IU,F,Solo,Soloist,EDAM Entertainment,Gucci,,Global Ambassador,,30-May-22,Global
GOT7 Jackson,Jackson Wang,M,Solo,GOT7,Team Wang,Cartier,,Global Ambassador,,8-Jun-22,Global
ITZY,,F,Group,ITZY,JYP,Charles & Keith,,Global Ambassador,,3-Aug-22,Global
GOT7 Jackson,Jackson Wang,M,Solo,GOT7,Team Wang,MAC Cosmetics,,Global Ambassador,,18-Aug-22,Global
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Fred Joaillier,,Brand Ambassador,,19-Aug-22,South Korea
BLACKPINK Jennie,Jennie,F,Solo,Blackpink,YG,Tamburins,,Face,Tamburin's Perfume Collection,20-Sep-22,Global
NMixx,,F,Group,NMixx,JYP,Loewe,,Global Ambassador,,28-Sep-22,Global
Jeon Somi,Jeon Somi,F,Solo,Soloist,The Black Label,Prada,Prada Fine Jewelry,Global Ambassador,,12-Oct-22,Global
